Date nuforc,Time norc,City2,county norc,occupation,Summary
15/12/2024,14:54,Newport,South Glamorgan,,I was with my friend talking and then we looked at the sky and we saw white orb change direction fast and weird and flew too fast
14/12/2024,02:00,Leeds,West Yorkshire,,Was getting ready for bed went to close my bedroom blinds and saw a craft flying around in circles so opened my window to film it
10/12/2024,22:36,,,,Blood red orb flying West to East at a low altitude.
5/12/2024,21:05,Garvagh,,,In air. Silver circle object zooming through sky and disappeard
4/12/2024,15:22,London,Greater London,,I was walking home from work and I saw a teardrop shaped object within the atmosphere over my location.
4/12/2024,09:30,DishforthAirfield,,,Circle very shiny metallic in the sky then disappeared
4/12/2024,02:10,Dumbarton,Scotland,,Massive stretch of light going at at least 500mph
28/11/2024,22:45,Dumbarton,Scotland,,Undefinable shaped black object with orange light
27/11/2024,23:30,Ballycarry,,,Very fast appeared out of nowhere
27/11/2024,17:30,SaintIves,,,This huge big black UAP flying over my house very slowly and no sound
26/11/2024,17:28,York,North Yorkshire,,"Very large bright green object that flashed, but was stationary"
25/11/2024,23:00,GlenParva,,,A white thing that flew directly over my house so fast changing height and direction flew like a bird it didn't look metal
24/11/2024,03:00,Walsall,West Midlands,,I saw the UFO from my window it was in my back garden and i saw an extraterrestrial.
20/11/2024,18:00,Stockport,Greater Manchester,,7 lights (star like) in plough formation moving in perfect sync across the sky
16/11/2024,23:40,Carlisle,Cumbria,,Flashing orb of multiple colours
16/11/2024,21:45,Hessle,North Humberside,,"Single light that moved strangely, moved across sky, split into 2 then moved synchrously and blinked, then moved away."
16/11/2024,19:21,Eastleigh,Hants,,Unnatural lighting above thin layer of clouds
16/11/2024,14:30,Shoreham-by-Sea,West Sussex,,Silver sphere seen flying east over Shoreham
15/11/2024,19:00,Manchester,Greater Manchester,,long rectangle black object
14/11/2024,18:50,Mexborough,West Yorkshire,,"Horizontal line of white lights , over a distance of at least half mile"
11/11/2024,21:58,Chester-le-Street,Co Durham,,In the dark looking at stars waiting for my bus and saw a purple triangular shaped aircraft with bright LED circular lights
11/11/2024,18:16,Willaston,,,We saw over 20 of these discs flying in the air and they had a few green lights flashing. One or two sped up to catch the rest of them.
11/11/2024,05:55,Blackburn,Lancashire,,Saw 3 oval shaped bright white lights that looked like windows. About 10 feet apart from each other. Silently hovering over the houses.
10/11/2024,23:45,Dounby,,,Saw a very pale green oval shaped light moving extremely fast behind the clouds
29/10/2024,21:12,Yeadon,,,"Circle objects bouncing around in a perculiar motion above the clouds on the motorway l, they were below the aircraft"
27/10/2024,13:15,St Albans,Hertfordshire,,A bright light moving inconsistently up and down and two random red lights moving fast but a closer distance
25/10/2024,18:46,Surbiton,Surrey,,I was walking out the back door looked up at the sky and watched them until it disappeared
24/10/2024,23:05,Slough,Berkshire,,Several lights in a circle just going on then off
22/10/2024,20:05,West Bromwich,West Midlands,,7-8 cigar shape moving
22/10/2024,19:14,Tredegar,Gwent,,Lasted 10-15 seconds
22/10/2024,07:30,Oxford,Oxfordshire,,Golden orbs
20/10/2024,19:54,Dundee,Angus,,Aircrafts flying at varying speeds towards each other and away again
19/10/2024,19:18,Methil,,,I noticed a light travelling across the sky making no sound at all.
16/10/2024,23:16,London,Greater London,,Yellow Circle with 2 smaller circles
14/10/2024,05:15,Aberkenfig,,,8 white bright objects
11/10/2024,19:30,Thorndon,,,Formation very fast
11/10/2024,12:30,Chelmsford,Essex,,Seen on video whilst trying to capture northern lights
4/10/2024,15:10,SouthOckendon,,,Saw a light in the sky and watched it caught it on camera and video
3/10/2024,19:19,Whitehaven,Cumbria,,Four lights over 5 minutes travelling from south east to north west - no sound whatsoever
20/9/2024,21:32,Hereford,Herefordshire,,2 bright lights with a visible craft to northeast of the passenger seat.
18/9/2024,22:35,,,,"Bright amber, ball-shaped EVO over the water, moving with rapid acceleration and controlled flight."
15/9/2024,21:30,Bexleyheath,,,Orbs/Drones Appear Every Night Between 9PM-Midnight
15/9/2024,18:06,BrightonandHove,,,Two orbs with visible propulsion. Dancing and making fast turns and huge acceleration
13/9/2024,12:46,Glasgow,Lanarkshire,,I noticed a pill shaped object in the sky which at first I though was a plane and then realised it was moving in a strange way
13/9/2024,06:33,Poole,Dorset,,"Looking out window, having cigarette, noticed high up. Could see not airplane. Too big, high up."
11/9/2024,16:20,Cwmbran,Gwent,,I saw a craft hovering and moving through the sky for 2 to 3 minutes. It moved steadily and looked to have external lights.
9/9/2024,19:40,London,Greater London,,Orb flickering
7/9/2024,17:10,Mursley,,,"I was sitting outside with my sister, yes we were drinking wine but she didn't believe me so I took out my phone..."
6/9/2024,18:16,Manchester,Greater Manchester,,3 lights in triangle form with orbs
5/9/2024,18:00,Atherton,,,My friend sent me 2 photos of these lights he took over his house he and i have no idea wat they were
5/9/2024,18:00,Liverpool,Merseyside,,3 Metallic orbs moving slowly and abruptly disappear
4/9/2024,23:00,Llangrove,,,"Thought it was aurora but when I checked, there was no activity and cloud base was low"
30/8/2024,21:34,PrestononWye,,,Seen moving orb in sky at random different directions then stayed still and noticed other less bright orbs moving in parallel with it
28/8/2024,23:50,CampseaAshe,,,"While camping, saw a white light emit a blue ""skirt"" of luminous light, unlike any aircraft or natural phenomenon."
24/8/2024,16:30,SouthMoreton,,,2 or 3 flashes of intense light in a stationary location
20/8/2024,23:00,Bromborough,,,"Flashing lights, moving steadily"
18/8/2024,21:45,Bracknell,Berkshire,,2 UAPs sighted travelling from left to right at unknown speed (hyperlapse) Unseen by naked eye (observed)
11/8/2024,22:00,Barry,Glamorgan,,Two unidentified flying objects.
4/8/2024,22:00,Bramhall,,,2 Craft moved above our garden -seemed to be following each other occasionally merging
28/7/2024,19:08,Ripon,North Yorkshire,,Was observed to be stationary in the sky sillouetted against cumulous clouds. Grey clouds obscured the object
28/7/2024,12:35,Threemilestone,,,They came to say hi before I started work.
27/7/2024,21:31,Calshot,,,Two lights materialised and moved away
26/7/2024,12:02,Hounslow,Middlesex,,"As the plane was coming to land, in the video from 8 seconds to the end of the video, an object zooms past the plane."
23/7/2024,02:12,Mexborough,West Yorkshire,,"Made to get out of bed to go and see, 4 days later dreamy state, things in my bedroom left scar from surgery"
15/7/2024,01:30,Warrington,Cheshire,,Large disk shaped craft numerous smaller lights and triangle shaped objects almost transparent hovering then moving fast
10/7/2024,23:30,Nuneaton,Warwickshire,,Very large orange blob of light
9/7/2024,23:45,Reading,Berkshire,,"Bright orange orb hovered silently, then shrank in place and vanished. No sound, no movement, seen clearly for ~30 seconds."
9/7/2024,05:15,Baildon,,,"Object round in shape bright lights round the edge zooms from Baildon Moor to 500 ft ahead, then speeds off"
8/7/2024,21:30,Duns,Borders,,"Travelling at speed and silent, from the South of Duns in an South Easterly direction."
8/7/2024,21:00,Morley,West Yorkshire,,"Object hovered over house, looked like a star, police dismissed as possible drone due to height. Couldn't find telescope, object disapp"
28/6/2024,11:09,Lincoln,Lincolnshire,,"White cylindrical object spotted flying east to west shortly before planes with contrails, which this object didn't have"
1/6/2024,22:20,Ashby-de-la-Zouch,,,Spinner S Shape like a boomerang.
17/5/2024,21:40,Preston,Lancashire,,"Silent, steady speed, super high altitude and iPhone and canon dlsr couldn’t pick up details on it."
13/5/2024,22:21,Warrington,Cheshire,,Picture of moon with brightly lit object to the right of the moon
11/5/2024,23:59,,,,My son was waiting to see the northern lights and he videoed the event I have 3second video of it
11/5/2024,22:29,Law,,,"Orange light, no ADSB, no rocket, no trail"
11/5/2024,21:50,,,,In the back garden having a barbecue with family then spotted an object which was fascinating. My son filmed it
11/5/2024,14:00,Rostrevor,,,Kilbroney Park
11/5/2024,00:02,Wirral,Cheshire,,White light jumping in different directions
26/4/2024,18:30,Hertford,Hertfordshire,,"Silver rotating sphere at approx 25,000 ft"
20/4/2024,21:30,Crossgates,,,Multiple small pulses of light travelling from south to north at approx 100 mph
16/4/2024,23:37,Bangor,Gwynedd,,"a still bright light, brighter than the moon that dimmed down into orange and green lights, then started moving."
24/3/2024,17:00,Chester,Cheshire,,Object following passenger jet
20/3/2024,20:25,Shanklin,,,Saw a triangular set of white lights going from left to right for about 5 seconds then faded and disappeared
18/3/2024,19:40,Sleaford,Lincolnshire,,"Fast moving, one object or group moving together"
6/3/2024,21:27,Marlborough,Wiltshire,,Strange shape in the sky that changed colour
6/3/2024,21:00,Holyhead,Merseyside,,"Looked very far away in the sky, it was moving way to fast to be a plane,moving in every direction almost zooming but not super fast"
27/2/2024,16:25,Bilston,,,"1 large red/orange orb that split into 3 then slowly descended in formation. Then, all together they flew north until they disappeared"
24/2/2024,10:30,GreatHallingbury,,,UFO looked like a huge elongated wing seen edge on. It was hovering about 2 km from my location. It then abruptly vanished.
23/2/2024,20:03,Motherwell,Lanarkshire,,3 UFOs spotted in Lanarkshire Scotland
21/2/2024,20:30,Bimbister,,,Bright lights brighter than Venus
20/2/2024,22:00,,,,Stood in a courtyard between buildings. Saw small bright light followed by a large craft 200’ft up flying slowly above the city
17/2/2024,05:27,East Kilbride,Lanarkshire,,Hovering bright green orb then incredible fast moving across sky sudden stops and moving again at incredible speed
13/2/2024,20:15,Thornaby,,,"White circle moving slowly about 1000 feet. No noise, no navigation lights constant speed very slow"
12/2/2024,16:45,Carshalton,Surrey,,I was online watching a live stream of the sun and observed this object move across the sun
30/1/2024,19:00,Stourbridge,West Midlands,,Slow pulsating object
27/1/2024,19:58,Manchester,Greater Manchester,,Three spheres
25/1/2024,22:15,Brownhills,,,The object was zooming through the sky and then coming to a complete stop. Then going at high speeds and stopping repeatedly.
24/1/2024,16:55,Hemel Hempstead,Hertfordshire,,an orb travelling west to east
23/1/2024,23:40,CorfeMullen,,,Circle of lights
23/1/2024,20:20,Manchester,Greater Manchester,,Not aircraft. Flying West: 3 then 4 then 7 not all together: some close and some wide apart at different angles. They were in space
