Date and Time Reported,Date nuforc,Time norc,City,City2,county norc,occupation,Summary
12/20/2024 19:00,20/12/2024,19:00,Horsehay,Horsehay,#N/A,,White strobe lights moving at pretty high speed red and white flashing all moving at same flight path except a couple
12/20/2024 18:11,20/12/2024,18:11,Tantobie,Tantobie,#N/A,,A flashing orb at first then a craft of some sort appeared straight after with two flashing lights.
12/20/2024 01:40,20/12/2024,01:40,Newport,Newport,South Glamorgan,,I looked down the road as I was waiting for my taxi and I saw a green sphere object glow and shoot off in the sky
12/19/2024 22:53,19/12/2024,22:53,,,#N/A,,It flew quite low lower than the airplane near it and it went faster than it then disappeared behind the cloud
12/19/2024 21:59,19/12/2024,21:59,Cleethorpes,Cleethorpes,N E Lincolnshire,,"2 sets of lights in 2 triangular type, grey objects"
12/19/2024 05:18,19/12/2024,05:18,Gaywood,Gaywood,#N/A,,Pulsing red light traveling across the sky
12/18/2024 22:30,18/12/2024,22:30,Sudbury,Sudbury,Suffolk,,"I saw a singular white light that moved in pattern-like motions, and it kept getting very dim and then extremely bright."
12/18/2024 19:36,18/12/2024,19:36,Digby,Digby,#N/A,,Two orbs the size of a small car apeared outside a workshop and shot straight up
12/18/2024 11:45,18/12/2024,11:45,Doncaster,Doncaster,South Yorkshire,,"Huge aircraft moving slowly toward Sheffield, maybe 50 metres in length. Followed by two jets"
12/17/2024 21:20,17/12/2024,21:20,Thornton Heath,Thornton Heath,Surrey,,Slowly moved over the rooftops
12/17/2024 01:03,17/12/2024,01:03,Nottingham,Nottingham,Nottinghamshire,,Walking to car after finishing work and saw something hovering
12/16/2024 17:10,16/12/2024,17:10,Bicester,Bicester,Oxfordshire,,"Orb was blinking, also saw a strange drone."
12/16/2024 16:10,16/12/2024,16:10,Whitefield,Whitefield,#N/A,,The small black cylindrical object was floating in the sky about 1km away then sped up and vanished
12/16/2024 13:42,16/12/2024,13:42,Ardrossan,Ardrossan,Ayrshire,,It started to shine so bright then was turning clockwise
12/16/2024 13:00,16/12/2024,13:00,Ardrossan,Ardrossan,Ayrshire,,It started to shine so bright then was turning clockwise
12/15/2024 18:00,15/12/2024,18:00,Halesowen,Halesowen,West Midlands,,One of the orbs was going bright and normal every 10 seconds and a second sighting was a orb appeared from the sky and shot across
12/15/2024 14:54,15/12/2024,14:54,Newport,Newport,South Glamorgan,,I was with my friend talking and then we looked at the sky and we saw white orb change direction fast and weird and flew too fast
12/14/2024 02:00,14/12/2024,02:00,Leeds,Leeds,West Yorkshire,,Was getting ready for bed went to close my bedroom blinds and saw a craft flying around in circles so opened my window to film it
12/10/2024 22:36,10/12/2024,22:36,,,#N/A,,Blood red orb flying West to East at a low altitude.
12/05/2024 21:05,5/12/2024,21:05,Garvagh,Garvagh,#N/A,,In air. Silver circle object zooming through sky and disappeard
12/04/2024 15:22,4/12/2024,15:22,London,London,Greater London,,I was walking home from work and I saw a teardrop shaped object within the atmosphere over my location.
12/04/2024 09:30,4/12/2024,09:30,Dishforth Airfield,Dishforth Airfield,#N/A,,Circle very shiny metallic in the sky then disappeared
12/04/2024 02:10,4/12/2024,02:10,Dumbarton,Dumbarton,Scotland,,Massive stretch of light going at at least 500mph
11/28/2024 22:45,28/11/2024,22:45,Dumbarton,Dumbarton,Scotland,,Undefinable shaped black object with orange light
11/27/2024 23:30,27/11/2024,23:30,Ballycarry,Ballycarry,#N/A,,Very fast appeared out of nowhere
11/27/2024 17:30,27/11/2024,17:30,Saint Ives,Saint Ives,#N/A,,This huge big black UAP flying over my house very slowly and no sound
11/26/2024 17:28,26/11/2024,17:28,York,York,North Yorkshire,,"Very large bright green object that flashed, but was stationary"
11/25/2024 23:00,25/11/2024,23:00,Glen Parva,Glen Parva,#N/A,,A white thing that flew directly over my house so fast changing height and direction flew like a bird it didn't look metal
11/24/2024 03:00,24/11/2024,03:00,Walsall,Walsall,West Midlands,,I saw the UFO from my window it was in my back garden and i saw an extraterrestrial.
11/20/2024 18:00,20/11/2024,18:00,Stockport,Stockport,Greater Manchester,,7 lights (star like) in plough formation moving in perfect sync across the sky
11/16/2024 23:40,16/11/2024,23:40,Carlisle,Carlisle,Cumbria,,Flashing orb of multiple colours
11/16/2024 21:45,16/11/2024,21:45,Hessle,Hessle,North Humberside,,"Single light that moved strangely, moved across sky, split into 2 then moved synchrously and blinked, then moved away."
11/16/2024 19:21,16/11/2024,19:21,Eastleigh,Eastleigh,Hants,,Unnatural lighting above thin layer of clouds
11/16/2024 14:30,16/11/2024,14:30,Shoreham-by-Sea,Shoreham-by-Sea,West Sussex,,Silver sphere seen flying east over Shoreham
11/15/2024 19:00,15/11/2024,19:00,Manchester,Manchester,Greater Manchester,,long rectangle black object
11/14/2024 18:50,14/11/2024,18:50,Mexborough,Mexborough,West Yorkshire,,"Horizontal line of white lights , over a distance of at least half mile"
11/11/2024 21:58,11/11/2024,21:58,Chester-le-Street,Chester-le-Street,Co Durham,,In the dark looking at stars waiting for my bus and saw a purple triangular shaped aircraft with bright LED circular lights
11/11/2024 18:16,11/11/2024,18:16,Willaston,Willaston,#N/A,,We saw over 20 of these discs flying in the air and they had a few green lights flashing. One or two sped up to catch the rest of them.
11/11/2024 05:55,11/11/2024,05:55,Blackburn,Blackburn,Lancashire,,Saw 3 oval shaped bright white lights that looked like windows. About 10 feet apart from each other. Silently hovering over the houses.
11/10/2024 23:45,10/11/2024,23:45,Dounby,Dounby,#N/A,,Saw a very pale green oval shaped light moving extremely fast behind the clouds
